key,population_den,area,female_per,children_living_with_single_parents,owner_occupied,some_college_more,dropped_out_schoolOrCollege,sep_wid_div,unemp,debt_housing_units,housing_retirement_income,females_per_tier1_jobs,household_income_less_than_20k,household_size_greater_than_equal_3,age_35_to_54,family_household,household_self_emp,hh_dividends,yr_built,electricity_cost_per,gross_rent,pool_publicTransport,bike
05001-480100-1,4.5,265.72,0.41,0.33,369,0.5,0,0.19,0.02,0.32,0.33,0.6,0.81,0.33,0.22,0.67,0.12,0.14,1978,0.56,0,0.19,0
05001-480200-1,4.8,277.07,0.51,0.24,361,0.46,0,0.13,0.03,0.47,0.21,0.49,0.91,0.39,0.24,0.82,0.24,0.16,1979,0.48,0.12,0.07,0
05001-480300-1,1830.6,0.53,0.47,0.13,161,0.24,0,0.17,0,0.37,0.23,0.35,0.79,0.44,0.18,0.75,0.06,0,1975,0.5,0.07,0.14,0
05001-480300-2,126.5,15.32,0.52,0.32,537,0.5,0,0.22,0.02,0.48,0.22,0.3,0.85,0.29,0.29,0.75,0.09,0.22,1983,0.68,0.06,0,0
05001-480400-1,2224.6,0.73,0.57,0.57,303,0.27,1,0.33,0.05,0.65,0.18,0.17,0.49,0.31,0.25,0.42,0.06,0,1978,0.57,0.44,0.09,0
05001-480400-2,23.4,22.74,0.41,0.58,135,0.49,0,0.19,0.04,0.62,0.1,0.42,0.73,0.39,0.14,0.69,0.14,0.16,1984,0.72,0.11,0.24,0
05001-480500-1,2154.2,0.75,0.51,0.18,449,0.6,0,0.32,0,0.63,0.29,0.43,0.91,0.33,0.27,0.66,0.1,0.17,1969,0.37,0.07,0.02,0
05001-480500-2,2476.3,0.75,0.52,0.96,262,0.54,0,0.2,0.03,0.68,0.27,0.46,0.79,0.25,0.25,0.65,0.08,0.04,1966,0.53,0.16,0.05,0
05001-480500-3,97.4,3.89,0.36,0,75,0.43,0,0.17,0,0.52,0.08,0.33,0.83,0.29,0.23,0.35,0.06,0.05,1963,0.53,0,0,0
05001-480600-1,36.7,51.51,0.49,0.04,625,0.46,0,0.27,0.01,0.37,0.11,0.61,0.86,0.24,0.24,0.63,0.07,0.08,1976,0.63,0.29,0.07,0
05001-480700-1,1489,0.86,0.54,0.43,266,0.31,0,0.44,0.03,0.43,0.28,0.22,0.59,0.3,0.23,0.59,0.01,0.07,1971,0.71,0.44,0.11,0
05001-480700-2,25.1,58.87,0.52,0.7,447,0.38,0.32,0.25,0.04,0.29,0.32,0.39,0.78,0.27,0.25,0.57,0.04,0.07,1986,0.54,0.16,0.05,0
05001-480800-1,2.6,291.52,0.61,0,264,0.56,0,0.21,0,0.18,0.35,0.62,0.94,0.25,0.26,0.72,0.29,0.33,1970,0.61,0,0.05,0
05001-480800-2,226.1,1.88,0.52,0.2,146,0.64,0,0.3,0.15,0.44,0.14,0.4,0.82,0.27,0.19,0.58,0.27,0.14,1974,0.46,0.12,0.05,0
05003-960100-1,8.3,107.71,0.53,0.52,250,0.48,0,0.21,0.01,0.29,0.12,0.48,0.74,0.2,0.22,0.71,0.07,0.02,1969,0.36,0.18,0.07,0
05003-960100-2,3.1,194.27,0.5,0,185,0.41,0,0.09,0.02,0.28,0.14,0.03,0.88,0.4,0.27,0.89,0.21,0.14,1993,0.47,0,0.13,0
05003-960200-1,15.6,83.76,0.44,0.01,376,0.25,0.38,0.15,0.06,0.55,0.14,0.35,0.79,0.32,0.26,0.72,0.11,0.06,1985,0.63,0,0.08,0
05003-960200-2,17.4,76.94,0.57,0,507,0.23,0,0.19,0.02,0.25,0.29,0.58,0.91,0.25,0.21,0.85,0.14,0.05,1981,0.64,0,0,0
05003-960300-1,78,11.36,0.42,0.03,256,0.32,0,0.17,0.01,0.24,0.09,0.78,0.85,0.37,0.28,0.69,0,0.29,1988,0.39,0,0.1,0
05003-960300-2,53.9,14.43,0.41,0.3,176,0.37,0,0.21,0.08,0.17,0.36,0.3,0.78,0.38,0.23,0.66,0.06,0,1979,0.42,0,0.14,0
05003-960300-3,35.6,40.36,0.57,0.39,346,0.25,0,0.18,0.03,0.41,0.19,0.32,0.72,0.34,0.21,0.62,0.06,0.09,1973,0.44,0.23,0.02,0
05003-960300-4,71.1,16,0.53,0.15,360,0.45,0,0.29,0.02,0.46,0.27,0.67,0.51,0.3,0.36,0.53,0.07,0.05,1969,0.51,0.06,0.09,0
05003-960400-1,4.3,245.35,0.46,0.17,304,0.48,0,0.25,0.01,0.38,0.29,0.63,0.74,0.36,0.22,0.61,0.12,0.16,1987,0.66,0.05,0.09,0
05003-960400-2,11.1,43.27,0.66,0,148,0.2,0,0.24,0.04,0.31,0.13,0.31,0.67,0.15,0.15,0.64,0.12,0.12,1973,0.41,0.27,0.02,0
05003-960500-1,287.7,3.96,0.43,0.46,222,0.15,0,0.37,0.08,0.55,0.18,0.09,0.73,0.34,0.29,0.62,0.08,0.03,1974,0.82,0.33,0.07,0
05003-960500-2,963.4,0.72,0.5,0.19,148,0.22,0,0.26,0.03,0.2,0.08,0.03,0.54,0.34,0.2,0.43,0,0.1,1981,0.49,0.44,0.01,0
05003-960500-3,139.4,5.57,0.36,0.33,180,0.33,0,0.33,0,0.21,0.17,0.4,0.67,0.4,0.1,0.52,0,0,1977,0.7,0.42,0.04,0
05003-960600-1,251.8,3,0.66,1,234,0.62,1,0.33,0,0.48,0.12,0.63,0.58,0.29,0.29,0.53,0.1,0.22,0,0.34,0.82,0,0
05003-960600-2,188.3,5.34,0.7,0.4,140,0.36,0,0.53,0.04,0.19,0.18,0.15,0.42,0.3,0.3,0.52,0,0.08,1964,0.3,0,0.16,0
05003-960600-3,1534.6,0.82,0.52,0.14,263,0.22,0,0.31,0,0.18,0.33,0.34,0.78,0.35,0.34,0.54,0.03,0,1959,0.39,0.15,0.34,0
05003-960600-4,85.8,12.58,0.44,0.04,379,0.42,0,0.22,0,0.63,0.43,0.71,0.86,0.25,0.23,0.69,0.03,0.21,1982,0.41,0,0,0
05003-960600-5,901.6,1.02,0.54,0,348,0.52,0,0.2,0,0.4,0.37,0.45,1,0.1,0.26,0.61,0.11,0.25,1963,0.34,0,0.03,0
05003-960700-1,16.5,52.57,0.55,0.26,219,0.43,0,0.15,0.01,0.34,0.23,0.74,0.85,0.41,0.18,0.7,0.07,0.13,1978,0.54,0.3,0.07,0
05003-960700-2,148,6.46,0.52,0.29,298,0.33,0,0.22,0.01,0.39,0.32,0.48,0.92,0.3,0.22,0.84,0.03,0.17,1981,0.78,0.54,0.11,0
05005-950100-1,201.4,4.09,0.47,0,299,0.71,0,0.27,0.13,0.67,0.3,0.1,0.93,0.18,0.41,0.58,0.05,0.05,1976,0.71,0,0.11,0
05005-950100-2,649.8,1.5,0.66,1,370,0.73,0,0.52,0.02,0.5,0.75,0.31,0.95,0.15,0.13,0.29,0.08,0.27,1980,0.59,0.08,0.07,0
05005-950100-3,1499.8,1.11,0.49,0.18,416,0.5,0,0.29,0,0.54,0.33,0.72,0.81,0.32,0.22,0.58,0.11,0.15,1980,0.43,0.08,0.21,0
05005-950100-4,333.1,3.8,0.48,0.27,469,0.44,0,0.53,0,0.23,0.53,0.54,0.69,0.22,0.16,0.59,0.03,0.28,1975,0.79,0.27,0.31,0
05005-950200-1,2425.3,0.53,0.53,0,173,0.3,0,0.14,0,0.69,0.24,0.19,0.64,0.38,0.33,0.52,0.05,0.04,1975,0.59,0.12,0.17,0
05005-950200-2,612.9,1.99,0.49,0.07,576,0.66,0,0.26,0.02,0.53,0.35,0.85,0.96,0.16,0.18,0.46,0.05,0.42,1980,0.24,0.37,0.14,0
05005-950200-3,389.7,5.19,0.48,0,669,0.63,0,0.15,0.03,0.36,0.35,0.83,0.96,0.21,0.12,0.62,0.14,0.35,1987,0.44,0,0.12,0
05005-950300-1,526.8,2.63,0.51,0.72,297,0.54,0,0.35,0.04,0.55,0.23,0.38,0.75,0.27,0.2,0.5,0.05,0.32,1988,0.48,0.27,0.22,0
05005-950300-2,1533.8,1.32,0.48,0.15,713,0.68,0,0.2,0.05,0.65,0.12,0.42,0.85,0.32,0.23,0.58,0.04,0.2,1980,0.24,0.07,0.05,0
05005-950300-3,394.2,4.19,0.5,0,561,0.55,0,0.2,0.03,0.57,0.28,0.33,0.82,0.3,0.24,0.76,0.05,0.27,1977,0.49,0,0.1,0
05005-950400-1,454.3,3.94,0.51,0.11,359,0.63,0,0.25,0,0.37,0.22,0.41,0.79,0.3,0.27,0.57,0.05,0.17,1991,0.66,0.15,0.13,0
05005-950400-2,265.3,6.11,0.55,0.05,552,0.54,0.02,0.26,0.02,0.58,0.33,0.45,0.77,0.18,0.15,0.59,0.02,0.23,1987,0.27,0.25,0.18,0
05005-950500-1,33.8,37.36,0.53,0,383,0.52,0.58,0.22,0.14,0.36,0.51,0.57,0.89,0.25,0.35,0.6,0.05,0.23,1993,0.75,0.08,0.11,0
05005-950500-2,6.3,137.52,0.66,0.93,285,0.54,0,0.23,0.02,0.46,0.2,0.33,0.92,0.37,0.09,0.62,0.01,0.12,1980,0.23,0,0.23,0
05005-950500-3,50.2,20.18,0.51,0.05,495,0.53,0,0.24,0.02,0.43,0.33,0.44,0.82,0.16,0.25,0.61,0.07,0.25,1985,0.76,0.44,0.23,0
05005-950500-4,29.8,44.81,0.53,0.59,499,0.48,0,0.37,0.05,0.5,0.46,0.46,0.82,0.31,0.19,0.65,0.14,0.16,1993,0.76,0.33,0.09,0
05005-950600-1,76,27.36,0.52,0.21,795,0.52,0,0.16,0.02,0.54,0.23,0.49,0.78,0.27,0.25,0.73,0.18,0.26,1991,0.73,0.5,0.09,0
05005-950600-2,37,33.46,0.54,0.17,581,0.55,0,0.4,0,0.4,0.34,0.45,0.77,0.28,0.23,0.56,0.09,0.12,1986,0.52,0,0.21,0
05005-950600-3,167.4,2.99,0.55,0,244,0.3,0,0.4,0.05,0.4,0.41,0.44,0.74,0.13,0.12,0.65,0.04,0.19,1991,0.69,0,0.17,0
05005-950700-1,173.7,6.83,0.49,0.71,427,0.52,0,0.27,0.01,0.42,0.32,0.24,0.77,0.26,0.28,0.71,0.12,0.23,1981,0.57,0.19,0.23,0
05005-950700-2,226,4.46,0.62,0.64,399,0.55,0.59,0.21,0.02,0.43,0.41,0.48,0.88,0.2,0.19,0.65,0.28,0.38,1980,0.79,0,0,0
05005-950700-3,24.3,49.17,0.47,0.06,441,0.45,0,0.19,0,0.34,0.49,0.72,0.78,0.24,0.14,0.73,0.03,0.18,1984,0.54,0.05,0.07,0
05005-950801-1,245.4,6.69,0.46,0,701,0.66,0,0.22,0.01,0.63,0.49,0.57,0.86,0.12,0.13,0.64,0.06,0.41,1980,0.83,0.11,0.05,0
05005-950801-2,36.1,51.77,0.5,0.67,602,0.56,0,0.27,0.02,0.35,0.24,0.5,0.81,0.28,0.19,0.67,0.2,0.34,1986,0.67,0.41,0.06,0
05005-950801-3,190.7,4.41,0.52,0.43,338,0.41,0,0.27,0,0.45,0.23,0.61,0.84,0.24,0.28,0.62,0.01,0.22,1986,0.82,0.16,0.05,0
05005-950802-1,40.8,47.36,0.49,0.27,723,0.44,0,0.25,0.04,0.48,0.31,0.59,0.84,0.35,0.25,0.79,0.15,0.16,1988,0.66,0,0.07,0
05005-950900-1,66.1,20.42,0.44,0.39,551,0.46,0,0.36,0,0.22,0.3,0.27,0.82,0.23,0.28,0.65,0.1,0.15,1980,0.4,0.11,0.2,0
05005-950900-2,560.3,1.71,0.61,0.55,357,0.55,0.5,0.3,0.01,0.59,0.21,0.44,0.74,0.19,0.14,0.65,0.08,0.29,1970,0.5,0.45,0.07,0
05005-950900-3,420.5,4.23,0.5,0.16,492,0.46,0.37,0.24,0.04,0.63,0.18,0.47,0.84,0.34,0.23,0.65,0.1,0.1,1984,0.38,0.11,0.14,0
05005-950900-4,100.7,16.8,0.47,0.18,484,0.56,0,0.13,0.03,0.48,0.29,0.38,0.84,0.33,0.11,0.78,0.13,0.24,1984,0.56,0.09,0.04,0
05007-020102-1,446.7,5.82,0.45,0.13,620,0.62,0,0.15,0.01,0.66,0.13,0.59,0.97,0.57,0.35,0.87,0.13,0.43,2000,0.5,0.02,0.17,0
05007-020102-2,296.2,6.48,0.53,0.5,328,0.51,0,0.19,0.03,0.64,0.38,0.25,0.97,0.65,0.18,0.91,0.04,0.36,1989,0.39,0,0.04,0
05007-020102-3,208.9,8.07,0.5,0.52,400,0.56,0,0.17,0.03,0.82,0.09,0.44,0.81,0.52,0.26,0.82,0.06,0.06,1993,0.2,0.41,0.05,0
05007-020102-4,379.9,2.86,0.47,0.24,348,0.57,0,0.17,0.01,0.26,0.15,0.32,0.85,0.32,0.23,0.76,0,0.24,1987,0.15,0.11,0.04,0
05007-020103-1,127.4,14.09,0.44,0.28,440,0.5,0,0.13,0.02,0.57,0.15,0.44,1,0.45,0.27,0.77,0.17,0.24,1994,0.28,0,0.19,0.03
05007-020103-2,2723.6,0.5,0.53,0.22,479,0.45,0,0.1,0,0.71,0.1,0.32,0.92,0.44,0.31,0.78,0.3,0.11,1995,0.21,0,0,0
05007-020103-3,616.8,2.13,0.45,0.11,374,0.41,0,0.22,0,0.58,0.13,0.39,0.85,0.5,0.21,0.82,0.14,0.04,1986,0.34,0.28,0.35,0
05007-020104-1,59.5,28.91,0.51,0.09,536,0.4,0.01,0.19,0.02,0.52,0.16,0.62,0.91,0.45,0.38,0.82,0.18,0.3,1994,0.3,0.13,0.1,0
05007-020201-1,366.2,2.54,0.57,0.04,204,0.4,0,0.12,0.17,0.37,0.18,0.72,0.94,0.36,0.27,0.81,0.17,0.16,1981,0.3,0,0.08,0
05007-020201-2,1125.6,2.72,0.48,0.13,555,0.37,0.02,0.13,0.02,0.54,0.08,0.26,0.88,0.5,0.29,0.81,0.05,0.13,1988,0.37,0.2,0.17,0
05007-020201-3,3125.2,0.42,0.53,0.17,218,0.53,0,0.15,0,0.59,0.1,0.39,0.86,0.47,0.16,0.59,0.15,0.22,1960,0.31,0.23,0.22,0
05007-020203-1,359.5,4.04,0.53,0.18,546,0.7,0,0.12,0,0.46,0.25,0.19,0.93,0.29,0.24,0.79,0.09,0.27,1992,0.21,0.21,0.1,0
05007-020203-2,932.1,1.29,0.51,0.45,316,0.54,0,0.16,0,0.46,0.14,0.28,0.88,0.47,0.25,0.72,0.09,0.15,1981,0.28,0.13,0.12,0
05007-020205-1,3109.4,0.63,0.5,0.11,476,0.15,0,0.14,0.02,0.67,0.09,0.27,0.87,0.43,0.25,0.71,0.03,0.06,1986,0.29,0,0.04,0
05007-020205-2,499.7,2.61,0.53,0.07,266,0.47,0.13,0.04,0.03,0.58,0.14,0.29,0.94,0.58,0.36,0.82,0,0.11,1996,0.45,0,0.16,0
05007-020205-3,906.8,2.3,0.49,0.21,381,0.29,0,0.14,0.04,0.53,0.07,0.21,0.8,0.59,0.27,0.67,0.04,0.15,1992,0.33,0.29,0.07,0
05007-020206-1,1153.1,1.9,0.51,0.22,483,0.4,0.24,0.25,0.01,0.62,0.11,0.21,0.99,0.61,0.33,0.72,0.09,0.07,1976,0.23,0,0.22,0
05007-020206-2,3263,0.59,0.53,0.03,447,0.21,0.07,0.02,0.01,0.67,0,0.24,0.96,0.67,0.44,0.9,0.17,0.06,1996,0.13,0,0.09,0
05007-020206-3,5997.2,0.6,0.52,0.51,235,0.29,0,0.13,0,0.8,0.03,0.18,0.78,0.8,0.19,0.87,0.15,0.01,1998,0.18,0.22,0.16,0
05007-020301-1,1960.6,0.93,0.48,0.21,103,0.31,0,0.05,0.02,0.53,0.07,0.26,0.91,0.64,0.36,0.77,0.14,0.07,1983,0.48,0.04,0.25,0
05007-020301-2,2994.8,0.38,0.59,0.74,155,0.39,0,0.44,0.03,0.26,0.04,0.55,0.75,0.12,0.08,0.41,0.04,0.11,1983,0.61,0.09,0.07,0.02
05007-020301-3,3397.6,0.38,0.56,0.83,126,0.28,0,0.32,0.05,0.64,0.17,0.3,0.66,0.34,0.21,0.48,0.06,0.06,1984,0.46,0.17,0.19,0
05007-020302-1,1855.4,0.39,0.38,0.86,121,0.38,0,0.17,0.03,0.72,0.11,0.07,1,0.53,0.16,0.81,0.11,0.1,1996,0.05,0.57,0.32,0
05007-020302-2,4475.3,0.35,0.53,0.48,173,0.41,0.09,0.25,0.02,0.82,0.1,0.51,0.81,0.44,0.2,0.52,0.11,0.1,1987,0.39,0.06,0.12,0
05007-020302-3,4752.5,0.4,0.54,0.23,455,0.39,0.12,0.16,0.03,0.67,0.19,0.37,0.95,0.63,0.26,0.8,0.03,0.05,1985,0.27,0.13,0.1,0
05007-020304-1,1931.5,2.29,0.51,0.3,884,0.59,0.06,0.2,0.04,0.75,0.14,0.51,0.9,0.4,0.26,0.61,0.13,0.16,1995,0.57,0.1,0.07,0
05007-020305-1,2141.4,1.12,0.46,0.46,552,0.38,0,0.17,0.01,0.81,0.16,0.37,0.9,0.56,0.31,0.8,0.13,0.18,1992,0.18,0.18,0.09,0
05007-020305-2,2325.8,0.62,0.43,0.08,462,0.73,0,0.11,0.05,0.8,0.27,0.67,0.98,0.4,0.33,0.78,0.07,0.23,1993,0.16,0.25,0.1,0
05007-020401-1,3608.7,0.51,0.61,0.86,258,0.38,0,0.26,0.07,0.5,0.32,0.26,0.79,0.27,0.15,0.67,0.07,0.22,1981,0.42,0.39,0.02,0
05007-020401-2,1006.4,2.41,0.58,0.3,593,0.56,0,0.21,0.05,0.56,0.24,0.55,0.93,0.21,0.28,0.64,0.08,0.29,1988,0.21,0.1,0.02,0
05007-020401-3,3483.1,0.7,0.46,0.3,528,0.44,0,0.19,0.04,0.69,0.27,0.34,0.89,0.39,0.31,0.75,0.06,0.15,1986,0.03,0.22,0.17,0
05007-020402-1,2044.6,0.5,0.55,0.03,237,0.46,0,0.19,0.02,0.86,0.13,0.29,0.89,0.42,0.23,0.7,0.03,0.08,1984,0.1,0.21,0.07,0
05007-020402-2,4309.3,0.5,0.47,0,466,0.64,0.01,0.1,0.05,0.73,0.21,0.43,0.85,0.56,0.24,0.75,0.13,0.22,1978,0.15,0.32,0.04,0
05007-020402-3,5644,0.5,0.54,0.51,277,0.34,0,0.2,0,0.85,0.05,0.26,0.99,0.67,0.35,0.79,0.3,0.06,1986,0.17,0.07,0.12,0
05007-020404-1,2430.8,0.83,0.52,0.25,237,0.45,0,0.12,0.01,0.75,0.1,0.43,0.87,0.6,0.19,0.85,0.11,0.07,2000,0.25,0.28,0.11,0
05007-020404-2,2929.5,0.5,0.49,0.58,296,0.41,0,0.14,0.01,0.59,0.19,0.35,0.84,0.47,0.21,0.64,0.04,0.1,1988,0.38,0.23,0.13,0
05007-020404-3,3483.3,0.5,0.46,0.21,347,0.39,0,0.16,0.02,0.69,0.16,0.22,0.92,0.56,0.27,0.8,0.14,0.09,1991,0.27,0.12,0.18,0
05007-020405-1,856.6,2.67,0.53,0.14,496,0.71,0,0.17,0.01,0.64,0.21,0.52,0.95,0.28,0.22,0.61,0.1,0.3,2011,0.42,0.06,0.01,0
05007-020405-2,1078.3,2.23,0.47,0.19,318,0.87,0,0.06,0.02,0.78,0.05,0.48,0.99,0.35,0.32,0.66,0.08,0.12,2003,0.61,0.04,0.05,0
05007-020501-1,800,0.85,0.47,0.16,144,0.76,0,0.35,0,0.66,0.44,0.58,0.52,0.2,0.26,0.41,0.17,0.3,1979,0.33,0.59,0,0
05007-020501-2,1169.1,0.7,0.4,0.25,101,0.42,0.15,0.16,0.21,0.44,0.14,0.24,0.81,0.16,0.25,0.45,0.08,0.19,1991,0.37,0,0,0
05007-020501-3,796.3,2.92,0.46,0.04,614,0.87,0,0.09,0.04,0.87,0.13,0.71,0.99,0.57,0.42,0.76,0.13,0.34,2007,0.19,0,0,0
05007-020501-4,1219.7,1.3,0.48,0,320,0.76,0,0.19,0,0.46,0.12,0.38,0.97,0.23,0.25,0.49,0.16,0.34,1999,0.43,0.13,0.04,0.04
05007-020503-1,1462.1,0.78,0.49,0.24,71,0.76,0,0.17,0,0.51,0.13,0.32,0.88,0.22,0.13,0.56,0,0.09,1995,0.86,0.11,0.17,0
05007-020503-2,1358.2,1.11,0.42,0.2,204,0.47,0.35,0.08,0,0.48,0.02,0.27,0.93,0.38,0.17,0.63,0.03,0.06,1996,0.56,0.12,0.07,0
05007-020503-3,2735.5,0.55,0.44,0.45,205,0.8,0,0.25,0.06,0.7,0.09,0.45,0.8,0.22,0.23,0.52,0.05,0.12,1992,0.6,0.18,0.09,0.01
05007-020504-1,1425.5,1.13,0.52,0.47,303,0.74,0,0.2,0.01,0.69,0.08,0.22,0.85,0.4,0.24,0.61,0.12,0.21,1991,0.34,0.22,0.05,0.03
05007-020504-2,2613.7,0.53,0.58,0.45,183,0.62,0,0.33,0.01,0.67,0.19,0.56,0.72,0.29,0.18,0.46,0.09,0.2,1981,0.32,0.27,0.14,0
05007-020604-1,4233.6,0.52,0.55,0.18,362,0.65,0,0.09,0.01,0.86,0.06,0.54,0.96,0.54,0.34,0.91,0.23,0.11,2002,0.35,0.08,0,0
05007-020604-2,2562.6,0.52,0.52,0.43,202,0.74,0,0.18,0.02,0.86,0.11,0.3,0.93,0.26,0.3,0.49,0.17,0.15,1984,0.5,0.08,0.08,0
05007-020604-3,907.6,2.02,0.41,0,216,0.47,0.48,0.28,0.02,0.69,0.1,0.48,0.84,0.37,0.28,0.66,0.06,0.32,1995,0.32,0.08,0.03,0
05007-020605-1,1844.8,0.47,0.54,0.17,186,0.66,0.13,0.29,0.01,0.45,0.29,0.34,0.69,0.34,0.26,0.55,0.1,0.22,1982,0.42,0.45,0.08,0
05007-020605-2,2986.5,0.38,0.51,0.41,188,0.54,0,0.32,0.03,0.65,0.15,0.38,0.81,0.37,0.35,0.52,0.07,0.12,1981,0.22,0.16,0.09,0.02
05007-020605-3,857.4,2.24,0.48,0.14,417,0.74,0,0.08,0.02,0.78,0.1,0.45,0.93,0.55,0.32,0.74,0.08,0.34,1998,0.27,0.36,0.14,0
05007-020606-1,1243.2,2.04,0.5,0.23,689,0.8,0.16,0.13,0.01,0.7,0.25,0.58,0.96,0.43,0.27,0.79,0.12,0.24,1995,0.25,0.08,0.04,0
05007-020606-2,1243.4,1.59,0.41,0.1,530,0.9,0,0.06,0.04,0.8,0.2,0.69,0.97,0.68,0.3,0.89,0.21,0.48,1995,0.2,0,0.02,0.01
05007-020607-1,1048.6,2.01,0.59,0.19,245,0.81,0,0.09,0.01,0.6,0.11,0.41,0.94,0.24,0.27,0.38,0.09,0.1,2006,0.79,0.17,0.06,0.01
05007-020607-2,3097.4,0.89,0.49,0.21,606,0.9,0,0.03,0.01,0.95,0.08,0.77,0.99,0.64,0.35,0.8,0.08,0.16,2012,0.49,0.02,0.08,0
05007-020607-3,2319.8,1.73,0.39,0.23,282,0.89,0,0.09,0.03,0.37,0.05,0.71,0.97,0.42,0.23,0.58,0.08,0.18,2013,0.74,0.02,0.17,0
05007-020608-1,3442.4,0.62,0.54,0.19,241,0.73,0,0.12,0.02,0.74,0.08,0.52,0.94,0.4,0.28,0.7,0.13,0.05,2010,0.8,0.15,0.05,0
05007-020608-2,6449,0.24,0.5,0.71,176,0.61,0,0.13,0.07,0.89,0.07,0.45,0.93,0.58,0.32,0.66,0.15,0.13,2007,0.57,0.22,0.21,0
05007-020701-1,861.8,2.8,0.55,0.02,623,0.7,0,0.11,0.08,0.82,0.14,0.36,0.98,0.36,0.29,0.83,0.09,0.11,1999,0.63,0,0.05,0.04
05007-020701-2,876.8,1.66,0.57,0.23,570,0.68,0,0.24,0.01,0.7,0.18,0.49,0.89,0.41,0.23,0.66,0.19,0.14,1985,0.82,0,0.11,0
05007-020701-3,510.2,3.06,0.51,0.19,567,0.7,0,0.15,0.02,0.84,0.2,0.6,0.94,0.45,0.33,0.77,0.14,0.23,2002,0.61,0,0.08,0
05007-020701-4,205.1,4.63,0.41,0,296,0.67,0,0.09,0.03,0.57,0.11,0.08,1,0.53,0.3,0.84,0,0,1997,0.45,0,0,0
05007-020703-1,1136.4,1.23,0.55,0,542,0.79,0,0.16,0,0.79,0.51,0.51,0.95,0.38,0.23,0.76,0.04,0.22,2000,0.77,0,0.05,0
05007-020703-2,673.5,3.38,0.46,0.12,700,0.68,0,0.15,0,0.73,0.26,0.5,0.96,0.44,0.35,0.73,0.13,0.15,1998,0.66,0.13,0.07,0
05007-020703-3,1286.1,1.22,0.5,0.05,549,0.66,0,0.15,0.01,0.52,0.36,0.5,0.97,0.2,0.31,0.73,0.03,0.28,1992,0.69,0.15,0.1,0
05007-020704-1,206.8,10.41,0.5,0.08,624,0.61,0,0.17,0,0.68,0.24,0.39,0.9,0.44,0.31,0.8,0.18,0.3,1990,0.54,0,0.06,0
05007-020704-2,1127.6,2.11,0.46,0.1,880,0.77,0.21,0.17,0.03,0.61,0.35,0.45,0.95,0.35,0.21,0.72,0.09,0.29,1997,0.75,0.23,0.13,0
05007-020801-1,290.7,3.15,0.5,0,436,0.74,0,0.24,0,0.69,0.69,0.42,1,0.12,0.1,0.64,0.06,0.45,1997,0.79,0,0.08,0
05007-020801-2,390.4,3.98,0.49,0.26,721,0.67,0,0.1,0,0.42,0.43,0.72,0.93,0.1,0.13,0.87,0.07,0.57,1997,0.86,0,0.03,0
05007-020801-3,752.1,1.37,0.52,0.43,471,0.71,0,0.13,0.01,0.68,0.35,0.76,0.97,0.12,0.15,0.82,0.07,0.44,1998,0.69,0,0.15,0
05007-020801-4,385.2,2.54,0.47,0,390,0.78,0,0.09,0.02,0.54,0.64,0.49,1,0.11,0.05,0.86,0.06,0.24,1996,0.77,0,0.15,0
05007-020803-1,661.9,2.9,0.54,0.32,608,0.7,0,0.23,0.02,0.54,0.47,0.49,0.96,0.39,0.19,0.85,0.13,0.4,2000,0.68,0,0.07,0
05007-020803-2,1444.6,1.13,0.49,0,647,0.67,0,0.17,0.04,0.48,0.2,0.28,0.89,0.42,0.31,0.67,0.05,0.4,1977,0.5,0.1,0.03,0
05007-020803-3,960.5,1.37,0.47,0.39,530,0.61,0,0.33,0,0.52,0.28,0.36,0.88,0.19,0.22,0.66,0.14,0.17,1986,0.85,0.04,0.03,0
05007-020805-1,803.4,1.89,0.47,0.04,562,0.78,0,0.09,0,0.71,0.32,0.42,0.96,0.35,0.21,0.9,0.04,0.33,1999,0.71,0,0.04,0
05007-020805-2,490.8,3.84,0.42,0.14,564,0.69,0,0.29,0.06,0.84,0.27,0.38,0.88,0.25,0.25,0.58,0.2,0.28,1980,0.59,0.06,0.06,0
05007-020805-3,1118.7,0.97,0.51,0.18,435,0.69,0,0.1,0.02,0.5,0.33,0.41,0.99,0.24,0.19,0.78,0.12,0.45,1985,0.73,0.22,0.16,0
05007-020806-1,761.7,1.32,0.55,0,484,0.78,0,0.22,0.02,0.5,0.64,0.26,0.97,0.11,0.07,0.64,0.02,0.31,1993,0.79,0,0.04,0
05007-020806-2,219.4,8.42,0.46,0.09,602,0.52,0,0.28,0.01,0.47,0.24,0.27,0.88,0.35,0.21,0.49,0.02,0.23,2001,0.75,0,0.02,0
05007-020806-3,381.6,9.66,0.49,0.04,1117,0.79,0,0.1,0.01,0.58,0.22,0.82,0.99,0.54,0.34,0.85,0.21,0.44,2004,0.4,0,0.07,0
05007-020903-1,4533.6,0.58,0.41,0.31,424,0.8,0,0.22,0.01,0.64,0.24,0.66,0.93,0.56,0.26,0.66,0.03,0.19,2005,0.76,0,0.02,0
05007-020903-2,5480.9,0.44,0.6,0.14,549,0.78,0,0.22,0.02,0.92,0.15,0.41,0.99,0.44,0.26,0.9,0.02,0.2,2007,0.4,0.08,0.02,0
05007-020904-1,5238.2,0.62,0.51,0.02,955,0.75,0.03,0.11,0.02,0.91,0.07,0.59,0.87,0.58,0.29,0.73,0.08,0.14,2004,0.19,0.09,0.1,0
